id,name,price,img_url,color,category,description
182,Compressible Packing Cubes,29.99,http://dummyimage.com/153x100.png/cc0000/ffffff,Indigo,Travel,Organizational cubes for easy packing and travel.
183,Air Mattress,49.99,http://dummyimage.com/222x100.png/cc0000/ffffff,Fuscia,Outdoor,Inflatable air mattress for convenient sleeping.
184,Insulated Cooler,39.99,http://dummyimage.com/196x100.png/cc0000/ffffff,Orange,Outdoor,Leak-proof cooler bag ideal for picnics and camping.
185,Ribbed Knit Dress,59.99,http://dummyimage.com/155x100.png/cc0000/ffffff,Teal,Clothing - Dresses,A fitted ribbed knit dress that hugs your curves perfectly.
186,Artisan Cornbread Mix,2.49,http://dummyimage.com/138x100.png/ff4444/ffffff,Khaki,Food - Baking,"Mix for homemade cornbread, just add water and bake for a delicious side."
187,Fitness Resistance Bands Set,34.99,http://dummyimage.com/203x100.png/5fa2dd/ffffff,Goldenrod,Fitness,Variety of bands suitable for all fitness levels.
188,Turmeric Ginger Tea,3.29,http://dummyimage.com/162x100.png/dddddd/000000,Aquamarine,Food - Beverages,A soothing tea blend with turmeric and ginger for wellness.
189,Overnight Hiking Backpack,79.99,http://dummyimage.com/182x100.png/dddddd/000000,Violet,Outdoor,Durable backpack with ample storage for outdoor adventures.
190,Terry Cloth Robe,59.99,http://dummyimage.com/182x100.png/dddddd/000000,Goldenrod,Clothing - Loungewear,"Soft and comfortable robe, perfect for lounging at home."
191,Pecan Nuts,6.49,http://dummyimage.com/202x100.png/ff4444/ffffff,Orange,Food - Snacks,"Nutty, crunchy pecans great for baking."
192,Leather Crossbody Bag,89.99,http://dummyimage.com/125x100.png/dddddd/000000,Purple,Clothing - Bags,A chic leather crossbody bag for everyday use.
193,Cereal Dispenser with Portion Control,24.99,http://dummyimage.com/213x100.png/dddddd/000000,Orange,Kitchen,Maintain freshness and dispense cereal easily.
194,Cauliflower Crust Pizza,7.99,http://dummyimage.com/196x100.png/cc0000/ffffff,Yellow,Food - Freezer,A gluten-free pizza crust made from cauliflower.
195,Coconut Cream,2.99,http://dummyimage.com/120x100.png/dddddd/000000,Orange,Food - Baking & Cooking,"Rich cream extracted from coconut milk, ideal for desserts."
196,Spicy Hummus,3.49,http://dummyimage.com/162x100.png/dddddd/000000,Aquamarine,Food - Deli,"Creamy hummus with a kick of spice, great for dipping."
197,Luxury Bath Robe,49.99,http://dummyimage.com/241x100.png/ff4444/ffffff,Aquamarine,Clothing,Soft and plush robe for comfort after the shower.
198,Pesto Pasta Sauce,3.99,http://dummyimage.com/166x100.png/ff4444/ffffff,Violet,Food - Sauces,Rich basil pesto sauce for pasta and more.
199,Snap-On Tupperware Set,34.99,http://dummyimage.com/216x100.png/5fa2dd/ffffff,Orange,Kitchen,Durable and versatile food storage containers.
200,Stylish Wide-Leg Trousers,59.99,http://dummyimage.com/153x100.png/5fa2dd/ffffff,Fuscia,Clothing - Bottoms,Fashionable wide-leg trousers for a chic silhouette.
201,Pet Reflective Vest,18.99,http://dummyimage.com/228x100.png/ff4444/ffffff,Indigo,Pets,Safety vest for pets during nighttime walks.
202,Smart Water Bottle,39.99,http://dummyimage.com/232x100.png/5fa2dd/ffffff,Pink,Fitness,Water bottle that tracks your hydration levels.
203,Solar Charger,39.99,http://dummyimage.com/121x100.png/5fa2dd/ffffff,Aquamarine,Electronics,Portable solar charger for outdoor adventures.
204,Faux Fur Coat,129.99,http://dummyimage.com/223x100.png/5fa2dd/ffffff,Turquoise,Clothing - Coats,A luxurious faux fur coat that adds glamour to any outfit.
205,Instant Camera,89.99,http://dummyimage.com/162x100.png/5fa2dd/ffffff,Goldenrod,Photography,Retro instant camera for capturing and printing photos instantly.
206,Mediterranean Couscous,3.59,http://dummyimage.com/143x100.png/cc0000/ffffff,Orange,Food - Grains,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads."
207,Maple Bacon Popcorn,3.49,http://dummyimage.com/228x100.png/cc0000/ffffff,Red,Food - Snacks,Savory popcorn flavored with maple syrup and bacon bits.
208,LED Under Cabinet Lighting,29.99,http://dummyimage.com/127x100.png/5fa2dd/ffffff,Puce,Home,Easy-to-install lights to brighten kitchen cabinets and workspaces.
209,Electric Blanket,59.99,http://dummyimage.com/112x100.png/dddddd/000000,Red,Home,Extra soft electric blanket with adjustable heat settings.
210,Adjustable Height Standing Desk Converter,89.99,http://dummyimage.com/108x100.png/dddddd/000000,Teal,Office,Convert your desk to a standing desk easily.
211,Portable UV Sterilizer,19.99,http://dummyimage.com/146x100.png/dddddd/000000,Crimson,Health,Compact sterilizer for disinfecting small items.
212,Ceramic Planter Set,39.99,http://dummyimage.com/233x100.png/5fa2dd/ffffff,Aquamarine,Home,Set of decorative ceramic planters for indoor plants.
213,Kids' Art Supplies Kit,29.99,http://dummyimage.com/243x100.png/5fa2dd/ffffff,Mauv,Toys,"Complete kit with crayons, markers, and paper for young artists."
214,Jump Rope with Counter,12.99,http://dummyimage.com/176x100.png/5fa2dd/ffffff,Fuscia,Fitness,Durable jump rope with built-in counter for workouts.
215,Spicy Hummus,3.49,http://dummyimage.com/247x100.png/5fa2dd/ffffff,Orange,Food - Deli,"Creamy hummus with a kick of spice, great for dipping."
216,Herbal Tea Infuser,9.99,http://dummyimage.com/192x100.png/cc0000/ffffff,Mauv,Kitchen,Infuser for brewing loose-leaf herbal teas easily.
217,Cocktail Shaker and Mixing Glass Set,39.99,http://dummyimage.com/128x100.png/5fa2dd/ffffff,Fuscia,Kitchen,Complete set for mixing cocktails at home.
218,Fitness Jump Rope,15.99,http://dummyimage.com/214x100.png/dddddd/000000,Goldenrod,Fitness,Durable jump rope for cardio workouts.
219,Chocolate Fudge Ice Cream,5.99,http://dummyimage.com/240x100.png/cc0000/ffffff,Orange,Food - Frozen Desserts,Rich and creamy chocolate fudge ice cream for dessert.
220,Electrolyte Water Bottle,34.99,http://dummyimage.com/151x100.png/cc0000/ffffff,Aquamarine,Fitness,Water bottle that tracks hydration levels and adds electrolytes.
221,Magnetic Chess Set,19.99,http://dummyimage.com/171x100.png/dddddd/000000,Blue,Toys,Portable chess set with magnetic pieces for travel.
222,Dark Chocolate Covered Pretzels,3.99,http://dummyimage.com/126x100.png/cc0000/ffffff,Teal,Food - Snacks,Crunchy pretzels dipped in rich dark chocolate.
223,Smart Thermostat with Wi-Fi,169.99,http://dummyimage.com/110x100.png/ff4444/ffffff,Fuscia,Smart Home,Wi-Fi enabled thermostat that learns your habits.
224,Sporty Slide Sandals,24.99,http://dummyimage.com/163x100.png/dddddd/000000,Crimson,Clothing - Footwear,Comfortable slide sandals for lounging by the pool.
225,Kettle Chip Variety Pack,3.99,http://dummyimage.com/102x100.png/5fa2dd/ffffff,Red,Food - Snacks,A crunchy collection of flavored kettle chips in a convenient pack.
226,Organic Ramen Noodles,2.89,http://dummyimage.com/236x100.png/5fa2dd/ffffff,Fuscia,Food - Pasta,Quick-cooking ramen noodles made with organic wheat.
227,Portable SSD,129.99,http://dummyimage.com/249x100.png/ff4444/ffffff,Green,Storage,"Fast and compact external solid state drive, 1TB."
228,Chic Jumpsuit,89.99,http://dummyimage.com/171x100.png/cc0000/ffffff,Orange,Clothing - Jumpsuits,An elegant jumpsuit that can be dressed up or down.
229,Granola Bars,4.99,http://dummyimage.com/210x100.png/cc0000/ffffff,Teal,Food - Snacks,"Crispy and chewy granola bars, perfect for on-the-go."
230,Luxury Bathrobe,49.99,http://dummyimage.com/112x100.png/5fa2dd/ffffff,Goldenrod,Clothing,Soft and cozy bathrobe perfect for relaxing at home.
231,Reusable Food Storage Bags,19.99,http://dummyimage.com/148x100.png/dddddd/000000,Puce,Kitchen,Eco-friendly silicone bags for food storage and snacks.
232,High-Waisted Skirt,34.99,http://dummyimage.com/136x100.png/5fa2dd/ffffff,Goldenrod,Clothing - Bottoms,"Chic high-waisted skirt, perfect for professional or casual settings."
233,Herb Seasoned Rice,2.99,http://dummyimage.com/229x100.png/5fa2dd/ffffff,Crimson,Food - Sides,A flavorful rice side dish seasoned with herbs and spices.
234,Nutty Trail Mix,4.29,http://dummyimage.com/245x100.png/dddddd/000000,Indigo,Food - Snacks,"A blend of nuts, seeds, and dried fruits for snacking."
235,Blue Corn Tortilla Chips,3.49,http://dummyimage.com/113x100.png/ff4444/ffffff,Fuscia,Food - Snacks,"Crunchy chips made from blue corn, perfect for dipping."
236,Yoga Mat Carrier,12.99,http://dummyimage.com/136x100.png/dddddd/000000,Green,Fitness,Convenient carrier for transporting yoga mat.
237,Gardening Fairy Figurines,14.99,http://dummyimage.com/143x100.png/ff4444/ffffff,Purple,Garden,Cute fairy figurines to decorate your garden or potted plants.
238,Spicy Tuna Rolls,6.49,http://dummyimage.com/145x100.png/ff4444/ffffff,Khaki,Food - Seafood,"The perfect seafood snack, ready to eat and delicious."
239,Wireless Security System,299.99,http://dummyimage.com/208x100.png/5fa2dd/ffffff,Green,Home Security,Comprehensive camera and alert system for home security.
240,Smart Plug,19.99,http://dummyimage.com/123x100.png/ff4444/ffffff,Blue,Smart Home,Wi-Fi enabled plug for controlling devices from your smartphone.
241,Set of Measuring Spoons,12.99,http://dummyimage.com/148x100.png/cc0000/ffffff,Teal,Kitchen,Stainless steel measuring spoons set for cooking.
242,Spicy Italian Sausage,4.99,http://dummyimage.com/172x100.png/dddddd/000000,Pink,Food - Meat & Seafood,"Savory sausage with a blend of spices, perfect for pasta dishes."
243,Pumpkin Spice Pancake Mix,3.49,http://dummyimage.com/228x100.png/5fa2dd/ffffff,Blue,Food - Breakfast,Pancake mix infused with seasonal pumpkin spice flavor.
244,Quinoa Salad,5.99,http://dummyimage.com/110x100.png/5fa2dd/ffffff,Yellow,Food - Prepared Foods,"A nutritious quinoa salad with veggies and dressing, ready-to-eat."
245,Sea Salt Caramel Popcorn,3.99,http://dummyimage.com/118x100.png/5fa2dd/ffffff,Purple,Food - Snacks,"Sweet and salty popcorn with sea salt and caramel, a tasty treat."
246,Spicy Avocado Salsa,4.49,http://dummyimage.com/177x100.png/cc0000/ffffff,Orange,Food - Condiments,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping."
247,Reusable Silicone Food Storage Bags,19.99,http://dummyimage.com/135x100.png/cc0000/ffffff,Puce,Kitchen,Eco-friendly bags for storing food without plastic waste.
248,Frozen Acai Purée,6.99,http://dummyimage.com/228x100.png/cc0000/ffffff,Pink,Food - Frozen,Unsweetened frozen acai purée for smoothies and bowls.
249,Camping Lantern,34.99,http://dummyimage.com/240x100.png/cc0000/ffffff,Goldenrod,Outdoor,Rechargeable LED camping lantern for outdoor use.
250,Kids' Gardening Kit,24.99,http://dummyimage.com/152x100.png/cc0000/ffffff,Orange,Toys,Complete set designed for children to learn gardening.
251,Chilli Lime Corn on the Cob,1.99,http://dummyimage.com/127x100.png/ff4444/ffffff,Crimson,Food - Vegetable,Corn on the cob seasoned with chili and lime for a spicy kick.
252,Vegetable Korma,6.49,http://dummyimage.com/147x100.png/ff4444/ffffff,Goldenrod,Food - Frozen,Creamy vegetable curry enriched with spices.
253,Pizza Stone,29.99,http://dummyimage.com/218x100.png/ff4444/ffffff,Goldenrod,Kitchen,Ceramic pizza stone for homemade pizzas.
254,Set of Herb Garden Markers,8.99,http://dummyimage.com/209x100.png/ff4444/ffffff,Red,Garden,Stylish markers for labeling your indoor garden plants.
255,Carrot Ginger Soup,4.29,http://dummyimage.com/210x100.png/5fa2dd/ffffff,Aquamarine,Food - Soups,"Smooth soup made from carrots and ginger, great for cold days."
256,Desk Lamp with USB Port,29.99,http://dummyimage.com/172x100.png/dddddd/000000,Violet,Office,Modern desk lamp that features a built-in USB charging port.
257,Zucchini Noodle Pasta,3.99,http://dummyimage.com/128x100.png/cc0000/ffffff,Maroon,Food - Vegetables,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta."
258,Sweet Potatoes (organic),1.99,http://dummyimage.com/175x100.png/cc0000/ffffff,Green,Food - Vegetables,"Fresh organic sweet potatoes, great for roasting or mashing."
259,Organic Ramen Noodles,2.89,http://dummyimage.com/170x100.png/dddddd/000000,Crimson,Food - Pasta,Quick-cooking ramen noodles made with organic wheat.
260,Nutty Granola Clusters,2.49,http://dummyimage.com/174x100.png/cc0000/ffffff,Teal,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.
261,Savory Rice Cakes,2.5,http://dummyimage.com/179x100.png/5fa2dd/ffffff,Mauv,Food - Snacks,"Lightly salted rice cakes, perfect for a healthy snack."
262,Adjustable Standing Desk,299.99,http://dummyimage.com/201x100.png/cc0000/ffffff,Yellow,Office,Ergonomic desk that adjusts height for standing or sitting.
263,Frozen Salmon Filets,12.99,http://dummyimage.com/134x100.png/dddddd/000000,Violet,Food - Seafood,"Wild-caught salmon filets, perfect for grilling or baking."
264,Maple Almond Butter,5.49,http://dummyimage.com/222x100.png/5fa2dd/ffffff,Crimson,Food - Nut Butters,Creamy almond butter sweetened with maple syrup for a delicious spread.
265,Cranberry Pecan Granola,3.99,http://dummyimage.com/140x100.png/5fa2dd/ffffff,Pink,Food - Breakfast Foods,Crunchy granola with cranberries and pecans.
266,Chocolate Chip Muffins,3.99,http://dummyimage.com/175x100.png/dddddd/000000,Pink,Food - Bakery,Fresh baked chocolate chip muffins for breakfast.
267,Smart Water Bottle,39.99,http://dummyimage.com/116x100.png/cc0000/ffffff,Purple,Fitness,Water bottle that tracks your hydration levels.
268,Lentil Vegetable Curry,4.49,http://dummyimage.com/202x100.png/cc0000/ffffff,Aquamarine,Food - Prepared Meals,A flavorful lentil curry cooked with vegetables and spices.
269,Mango Sticky Rice Dessert,4.5,http://dummyimage.com/179x100.png/dddddd/000000,Violet,Food - Frozen Desserts,Sweetened sticky rice served with fresh mango and coconut sauce.
270,Safety First Aid Kit,29.99,http://dummyimage.com/144x100.png/cc0000/ffffff,Orange,Health,Comprehensive first aid kit for home or travel emergencies.
271,Pineapple Rings,2.49,http://dummyimage.com/125x100.png/5fa2dd/ffffff,Green,Food - Canned Goods,Delicious canned pineapple rings for desserts or salads.
272,Almond Flour Cookies,4.99,http://dummyimage.com/185x100.png/ff4444/ffffff,Indigo,Food - Bakery,Delicious cookies made with almond flour for a gluten-free treat.
273,Nutritional Yeast,3.59,http://dummyimage.com/128x100.png/dddddd/000000,Yellow,Food - Pantry,A healthy vegan cheese alternative packed with nutrients and flavor.
274,Kids' Gardening Tools Set,22.99,http://dummyimage.com/174x100.png/5fa2dd/ffffff,Blue,Toys,Fun and colorful gardening tools designed for children.
275,Honeycrisp Apple Chips,3.49,http://dummyimage.com/180x100.png/cc0000/ffffff,Red,Food - Snacks,Crispy and sweet dried apple slices
276,Picnic Blanket,29.99,http://dummyimage.com/137x100.png/cc0000/ffffff,Pink,Outdoor,Waterproof picnic blanket for outdoor fun.
277,Smartphone Gimbal Stabilizer,89.99,http://dummyimage.com/193x100.png/5fa2dd/ffffff,Green,Photography,Stabilizer for smooth video recording with smartphones.
278,Organic Coconut Yogurt,4.49,http://dummyimage.com/160x100.png/cc0000/ffffff,Orange,Food - Dairy,Dairy-free yogurt made from coconut milk.
279,Salt and Pepper Grinder Set,19.99,http://dummyimage.com/235x100.png/cc0000/ffffff,Yellow,Kitchen,Adjustable grinders for fresh spices at the table.
280,Cherry Almond Protein Bar,1.99,http://dummyimage.com/197x100.png/dddddd/000000,Crimson,Food - Snacks,"Nutritious protein bar with cherry and almond flavor, great for on-the-go."
281,Protein Pancake Mix,3.99,http://dummyimage.com/245x100.png/cc0000/ffffff,Aquamarine,Food - Breakfast,A protein-packed pancake mix for a nutritious breakfast.
282,Cotton Pajama Set,49.99,http://dummyimage.com/134x100.png/5fa2dd/ffffff,Orange,Clothing - Loungewear,Soft cotton pajama set for cozy nights in.
283,Cacao Powder,4.49,http://dummyimage.com/128x100.png/dddddd/000000,Blue,Food - Baking,Unsweetened cacao powder for baking and smoothies.
284,Ramen Noodle Soup Cups,1.29,http://dummyimage.com/152x100.png/5fa2dd/ffffff,Maroon,Food - Prepared Meals,Instant ramen cups with flavor-packed broth.
285,Raisin Cinnamon Granola,3.79,http://dummyimage.com/191x100.png/cc0000/ffffff,Orange,Food - Cereals,Crunchy granola with raisins and cinnamon for a delightful breakfast.
286,Whole Grain Hamburger Buns,2.69,http://dummyimage.com/200x100.png/5fa2dd/ffffff,Puce,Food - Bakery,Soft hamburger buns made with whole grains.
287,Handheld Garment Steamer,34.99,http://dummyimage.com/159x100.png/dddddd/000000,Puce,Home,Quick and easy way to remove wrinkles from clothes.
288,Handheld Garment Steamer,34.99,http://dummyimage.com/221x100.png/dddddd/000000,Teal,Home,Quick and easy way to remove wrinkles from clothes.
289,Handheld Shower Head,34.99,http://dummyimage.com/146x100.png/cc0000/ffffff,Maroon,Bathroom,Adjustable shower head for a luxurious shower experience.
290,Cinnamon Sugar Donuts,4.99,http://dummyimage.com/157x100.png/5fa2dd/ffffff,Fuscia,Food - Bakery,Delicious mini donuts dusted with cinnamon sugar.
291,Magnetic Curtain Tiebacks,12.99,http://dummyimage.com/206x100.png/ff4444/ffffff,Puce,Home,Easy-to-use tiebacks for curtains or drapes.
292,Stainless Steel BBQ Grill Set,49.99,http://dummyimage.com/190x100.png/5fa2dd/ffffff,Red,Outdoor,Essential tools for outdoor barbecues including tongs and spatula.
293,Vegetable Broth,2.29,http://dummyimage.com/101x100.png/5fa2dd/ffffff,Teal,Food - Canned Goods,Rich vegetable broth for soups and stews.
294,Marinara Parmesan Baked Ziti,8.49,http://dummyimage.com/227x100.png/5fa2dd/ffffff,Pink,Food - Frozen Meals,Ziti pasta baked with marinara and parmesan cheese
295,Chickpeas,1.29,http://dummyimage.com/181x100.png/5fa2dd/ffffff,Blue,Food - Canned Goods,"Canned chickpeas, perfect for hummus or salads."
296,Trainers with Mesh Inserts,69.99,http://dummyimage.com/209x100.png/5fa2dd/ffffff,Red,Clothing - Footwear,Comfortable trainers with mesh inserts for breathability.
297,Natural Fruit Snacks,3.99,http://dummyimage.com/105x100.png/cc0000/ffffff,Goldenrod,Food - Snacks,"Healthy fruit snacks, made with real fruit."
298,Sweet Potato Mash,3.99,http://dummyimage.com/142x100.png/dddddd/000000,Purple,Food - Frozen Foods,"Creamy mashed sweet potatoes, ready to heat and serve."
299,Compact Electric Kettle,29.99,http://dummyimage.com/195x100.png/ff4444/ffffff,Orange,Kitchen,Quick-boiling kettle for home and office use.
300,Fitness Jump Rope,15.99,http://dummyimage.com/225x100.png/cc0000/ffffff,Maroon,Fitness,Durable jump rope for cardio workouts.
301,Bicycle Repair Kit,14.99,http://dummyimage.com/205x100.png/ff4444/ffffff,Aquamarine,Outdoor,Essential tools for on-the-go bike maintenance.
302,Marinara Parmesan Baked Ziti,8.49,http://dummyimage.com/218x100.png/dddddd/000000,Puce,Food - Frozen Meals,Ziti pasta baked with marinara and parmesan cheese
303,Smartphone Gimbal Stabilizer,89.99,http://dummyimage.com/224x100.png/ff4444/ffffff,Teal,Photography,Stabilizer for smooth video recording with smartphones.
304,Savory Oatmeal Cups,1.99,http://dummyimage.com/166x100.png/dddddd/000000,Crimson,Food - Breakfast,"Savory oatmeal ready to eat, great for breakfast or a snack."
305,Creamy Tomato Basil Soup,3.29,http://dummyimage.com/230x100.png/dddddd/000000,Maroon,Food - Canned Goods,"Rich and creamy tomato basil soup, perfect with a grilled cheese."
306,Salsa,3.49,http://dummyimage.com/196x100.png/cc0000/ffffff,Purple,Food - Condiments,"Fresh and zesty salsa, perfect for nachos."
307,Asian Salad Mix,3.99,http://dummyimage.com/243x100.png/cc0000/ffffff,Orange,Food - Produce,Fresh greens and veggies for a quick Asian-inspired salad.
308,Feta Cheese Crumbles,2.49,http://dummyimage.com/210x100.png/5fa2dd/ffffff,Blue,Food - Dairy,"Crumbled feta cheese, perfect for salads and Mediterranean dishes."
309,Fitness Jump Box,69.99,http://dummyimage.com/120x100.png/cc0000/ffffff,Aquamarine,Fitness,Durable and adjustable jump box for effective workouts.
310,Cheddar Cheese Crackers,2.29,http://dummyimage.com/151x100.png/cc0000/ffffff,Yellow,Food - Snacks,Crunchy crackers topped with real cheddar cheese flavor.
311,Elderberry Syrup,11.99,http://dummyimage.com/124x100.png/ff4444/ffffff,Indigo,Food - Supplements,Natural elderberry syrup to boost immunity.
312,Athletic Compression Tights,39.99,http://dummyimage.com/182x100.png/dddddd/000000,Mauv,Clothing - Activewear,High-performance compression tights designed for optimal support and comfort.
313,Ranch Dressing,2.59,http://dummyimage.com/145x100.png/dddddd/000000,Turquoise,Food - Condiments,"Creamy ranch dressing, perfect for salads and dips."
314,Backpacking Tent,109.99,http://dummyimage.com/184x100.png/cc0000/ffffff,Violet,Outdoor,Lightweight and durable tent for camping trips.
315,Asian Salad Mix,3.99,http://dummyimage.com/196x100.png/dddddd/000000,Mauv,Food - Produce,Fresh greens and veggies for a quick Asian-inspired salad.
316,Coconut Milk Ice Cream,6.99,http://dummyimage.com/246x100.png/cc0000/ffffff,Mauv,Food - Frozen Desserts,"Dairy-free ice cream made with coconut milk, creamy and delicious."
317,Essential White Button-Up,44.99,http://dummyimage.com/147x100.png/cc0000/ffffff,Yellow,Clothing - Shirts,A classic white button-up shirt for a polished appearance.
318,LED Flashlight with Rechargeable Batteries,19.99,http://dummyimage.com/184x100.png/cc0000/ffffff,Turquoise,Outdoor,Bright flashlight with rechargeable batteries included.
319,Gingerbread House Kit,6.99,http://dummyimage.com/147x100.png/cc0000/ffffff,Fuscia,Food - Baking,Everything you need to build a festive gingerbread house.
320,Plant Growing Kit,22.99,http://dummyimage.com/219x100.png/5fa2dd/ffffff,Turquoise,Garden,Complete kit for growing herbs indoors.
321,Smartphone Projector Kit,24.99,http://dummyimage.com/235x100.png/dddddd/000000,Green,Electronics,DIY kit to convert your smartphone into a mini projector.
322,Field Journal,14.99,http://dummyimage.com/102x100.png/5fa2dd/ffffff,Khaki,Books,Durable journal for nature observations and notes.
323,Non-Stick Baking Sheet,18.99,http://dummyimage.com/218x100.png/cc0000/ffffff,Yellow,Kitchen,Durable baking sheet coated for easy food release.
324,Vegan chocolate chip cookies,4.79,http://dummyimage.com/222x100.png/ff4444/ffffff,Maroon,Food - Bakery,"Delicious soft cookies, dairy-free and egg-free, perfect for treats."
325,Blender Bottle,12.99,http://dummyimage.com/135x100.png/ff4444/ffffff,Crimson,Fitness,Portable mixer bottle for smoothies and protein shakes.
326,Jigsaw Puzzle,14.99,http://dummyimage.com/144x100.png/dddddd/000000,Orange,Toys,500-piece jigsaw puzzle featuring beautiful scenery.
327,BBQ Jackfruit,4.29,http://dummyimage.com/101x100.png/dddddd/000000,Indigo,Food - Prepared Foods,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative."
328,Mixed Nuts,5.99,http://dummyimage.com/198x100.png/ff4444/ffffff,Red,Food - Snacks,"A blend of assorted nuts, perfect for snacking or adding to recipes."
329,Mango Chia Pudding,4.49,http://dummyimage.com/174x100.png/5fa2dd/ffffff,Pink,Food - Snacks,Healthy chia pudding made with mango and coconut milk.
330,Creamy Tomato Basil Soup,3.29,http://dummyimage.com/139x100.png/ff4444/ffffff,Violet,Food - Canned Goods,"Rich and creamy tomato basil soup, perfect with a grilled cheese."
331,Sesame Garlic Noodles,3.49,http://dummyimage.com/137x100.png/cc0000/ffffff,Blue,Food - Pasta,Delicious noodles tossed in a sesamegarlic sauce.
332,Nutty Granola Clusters,2.49,http://dummyimage.com/235x100.png/dddddd/000000,Puce,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.
333,Bamboo Utensil Holder,14.99,http://dummyimage.com/242x100.png/ff4444/ffffff,Khaki,Kitchen,Stylish holder for organizing cooking utensils.
334,Adjustable Skipping Rope,12.99,http://dummyimage.com/148x100.png/ff4444/ffffff,Purple,Fitness,Durable skipping rope with adjustable length for workouts.
335,Instant Camera,89.99,http://dummyimage.com/109x100.png/ff4444/ffffff,Aquamarine,Photography,Retro instant camera for capturing and printing photos instantly.
336,Cajun Seasoning,1.99,http://dummyimage.com/223x100.png/cc0000/ffffff,Red,Food - Spices,Spicy seasoning mix for all your favorite dishes.
337,Peach Salsa,3.29,http://dummyimage.com/250x100.png/dddddd/000000,Purple,Food - Dips,Sweet and spicy salsa made with fresh peaches.
338,Spicy Vegetable Sushi Rolls,8.49,http://dummyimage.com/223x100.png/5fa2dd/ffffff,Blue,Food - Prepared Foods,Vegan sushi filled with spicy vegetables and avocado.
339,Garden Vegetable Soup,3.29,http://dummyimage.com/227x100.png/5fa2dd/ffffff,Maroon,Food - Canned Goods,"A hearty soup filled with vegetables and herbs, perfect for a light meal."
340,Cable Knit Beanie,19.99,http://dummyimage.com/125x100.png/dddddd/000000,Mauv,Clothing - Accessories,A cozy cable knit beanie to keep your head warm in winter.
341,Over-Ear Headphones,59.99,http://dummyimage.com/105x100.png/dddddd/000000,Teal,Audio,Comfortable over-ear headphones with deep bass.
342,Savory Trail Mix,4.29,http://dummyimage.com/209x100.png/5fa2dd/ffffff,Red,Food - Snacks,"A blend of nuts, seeds, and spices for a healthy snack."
343,Flavored Popcorn Mix,2.99,http://dummyimage.com/148x100.png/dddddd/000000,Puce,Food - Snacks,Popcorn tossed with sweet or savory flavors for a tasty snack.
344,Chickpea Pancakes,4.99,http://dummyimage.com/186x100.png/cc0000/ffffff,Maroon,Food - Frozen,"Savory pancakes made with chickpea flour, high in protein."
345,Balsamic Glazed Brussels Sprouts,4.99,http://dummyimage.com/124x100.png/5fa2dd/ffffff,Crimson,Food - Vegetables,Roasted Brussels sprouts drizzled with balsamic glaze.
346,Caraway Rye Bread,4.79,http://dummyimage.com/232x100.png/cc0000/ffffff,Green,Food - Bakery,Artisan bread with caraway seeds for added flavor.
347,Stylish Combat Boots,99.99,http://dummyimage.com/145x100.png/cc0000/ffffff,Purple,Clothing - Shoes,Bold combat boots that make a statement with any outfit.
348,Portable Air Purifier,69.99,http://dummyimage.com/200x100.png/5fa2dd/ffffff,Red,Health,Compact air purifier to improve indoor air quality.
349,Cucumber Relish,3.39,http://dummyimage.com/164x100.png/ff4444/ffffff,Fuscia,Food - Condiments,"Sweet relish made from cucumbers, perfect for sandwiches."
350,Pet Water Fountain with Filtration,39.99,http://dummyimage.com/144x100.png/ff4444/ffffff,Yellow,Pets,"Continuous stream of fresh water for pets, promoting hydration."
351,Craft Beer Mustard,3.99,http://dummyimage.com/112x100.png/cc0000/ffffff,Aquamarine,Food - Condiments,Stone-ground mustard infused with craft beer for a gourmet touch.
352,Car Seat Organizer,14.99,http://dummyimage.com/110x100.png/cc0000/ffffff,Yellow,Automotive,Storage solutions for keeping your car tidy and organized.
353,Buffalo Stilton Cheese,8.99,http://dummyimage.com/102x100.png/dddddd/000000,Blue,Food - Cheese,Spicy blue cheese with a hint of buffalo flavor.
354,Cordless Water Flosser,49.99,http://dummyimage.com/132x100.png/cc0000/ffffff,Crimson,Health,Rechargeable water flosser for dental hygiene.
355,Pasta Portion Control Measure,9.99,http://dummyimage.com/213x100.png/5fa2dd/ffffff,Blue,Kitchen,Tool for measuring perfect pasta portions every time.
356,Pasta Portion Control Measure,9.99,http://dummyimage.com/199x100.png/5fa2dd/ffffff,Orange,Kitchen,Tool for measuring perfect pasta portions every time.
357,Hibiscus Tea Bags,3.79,http://dummyimage.com/144x100.png/dddddd/000000,Puce,Food - Beverages,Herbal tea bags made from dried hibiscus flowers.
358,Lentil Soup (canned),1.99,http://dummyimage.com/141x100.png/ff4444/ffffff,Mauv,Food - Canned Goods,Hearty lentil soup for a quick meal.
359,Almond Butter Cookies,4.49,http://dummyimage.com/117x100.png/ff4444/ffffff,Crimson,Food - Snacks,Soft cookies made with almond butter
360,Wooden Puzzle Game,14.99,http://dummyimage.com/145x100.png/5fa2dd/ffffff,Pink,Toys,Classic wooden puzzle game for kids and adults.
